chave_catalogo,nome_magia,nivel,origem_lista,dominio,eh_magia_dominio,familia_tendencia,modo_restricao,subvariantes_tendencia,subvariantes_por_alinhamento,pode_leal_bom,pode_leal_neutro,pode_leal_mau,pode_neutro_bom,pode_neutro,pode_neutro_mau,pode_caotico_bom,pode_caotico_neutro,pode_caotico_mau,alinhamentos_permitidos,alinhamentos_bloqueados,requer_dominio_escolhido,dominios_opostos_bloqueiam,observacao
CLERIGO_BASE_1_DETECTAR_MAL,Detectar Mal,1,CLERIGO_BASE,,NAO,BEM,FAMILIA_FIXA,,,SIM,NAO,NAO,SIM,NAO,NAO,SIM,NAO,NAO,Leal e Bom|Neutro e Bom|Caótico e Bom,Leal e Neutro|Leal e Mau|Neutro|Neutro e Mau|Caótico e Neutro|Caótico e Mau,NAO,,Magia base do clérigo.
CLERIGO_BASE_1_ESCUDO_DA_FE,Escudo da Fé,1,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_1_PROTECAO_CONTRA_MAL,Proteção contra Mal,1,CLERIGO_BASE,,NAO,BEM,FAMILIA_FIXA,,,SIM,NAO,NAO,SIM,NAO,NAO,SIM,NAO,NAO,Leal e Bom|Neutro e Bom|Caótico e Bom,Leal e Neutro|Leal e Mau|Neutro|Neutro e Mau|Caótico e Neutro|Caótico e Mau,NAO,,Magia base do clérigo.
DOMINIO_AR_1_MENSAGEM,Mensagem,1,DOMINIO,Ar,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Ar.
DOMINIO_AR_1_NEVOA_OBSCURECENTE,Névoa Obscurecente,1,DOMINIO,Ar,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Ar.
DOMINIO_BEM_1_ABENCOAR_AGUA,Abençoar Água,1,DOMINIO,Bem,SIM,BEM,FAMILIA_FIXA,,,SIM,NAO,NAO,SIM,NAO,NAO,SIM,NAO,NAO,Leal e Bom|Neutro e Bom|Caótico e Bom,Leal e Neutro|Leal e Mau|Neutro|Neutro e Mau|Caótico e Neutro|Caótico e Mau,SIM,MAL,Magia de domínio; renderizar somente se o clérigo tiver o domínio Bem. O domínio oposto Mal também bloqueia esta magia.
DOMINIO_BEM_1_BENCAO,Bênção,1,DOMINIO,Bem,SIM,BEM,FAMILIA_FIXA,,,SIM,NAO,NAO,SIM,NAO,NAO,SIM,NAO,NAO,Leal e Bom|Neutro e Bom|Caótico e Bom,Leal e Neutro|Leal e Mau|Neutro|Neutro e Mau|Caótico e Neutro|Caótico e Mau,SIM,MAL,Magia de domínio; renderizar somente se o clérigo tiver o domínio Bem. O domínio oposto Mal também bloqueia esta magia.
DOMINIO_BEM_1_CURAR_FERIMENTOS_LEVES,Curar Ferimentos Leves,1,DOMINIO,Bem,SIM,BEM,FAMILIA_FIXA,,,SIM,NAO,NAO,SIM,NAO,NAO,SIM,NAO,NAO,Leal e Bom|Neutro e Bom|Caótico e Bom,Leal e Neutro|Leal e Mau|Neutro|Neutro e Mau|Caótico e Neutro|Caótico e Mau,SIM,MAL,Magia de domínio; renderizar somente se o clérigo tiver o domínio Bem. O domínio oposto Mal também bloqueia esta magia.
DOMINIO_BEM_1_PROTECAO_CONTRA_O_MAL,Proteção Contra o Mal,1,DOMINIO,Bem,SIM,BEM,FAMILIA_FIXA,,,SIM,NAO,NAO,SIM,NAO,NAO,SIM,NAO,NAO,Leal e Bom|Neutro e Bom|Caótico e Bom,Leal e Neutro|Leal e Mau|Neutro|Neutro e Mau|Caótico e Neutro|Caótico e Mau,SIM,MAL,Magia de domínio; renderizar somente se o clérigo tiver o domínio Bem. O domínio oposto Mal também bloqueia esta magia.
DOMINIO_CAOS_1_MAOS_FLAMEJANTES,Mãos Flamejantes,1,DOMINIO,Caos,SIM,CAOS,FAMILIA_FIXA,,,NAO,NAO,NAO,NAO,NAO,NAO,SIM,SIM,SIM,Caótico e Bom|Caótico e Neutro|Caótico e Mau,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau,SIM,ORDEM,Magia de domínio; renderizar somente se o clérigo tiver o domínio Caos. O domínio oposto Ordem também bloqueia esta magia.
DOMINIO_CAOS_1_PROTECAO_CONTRA_A_ORDEM,Proteção Contra a Ordem,1,DOMINIO,Caos,SIM,CAOS,FAMILIA_FIXA,,,NAO,NAO,NAO,NAO,NAO,NAO,SIM,SIM,SIM,Caótico e Bom|Caótico e Neutro|Caótico e Mau,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau,SIM,ORDEM,Magia de domínio; renderizar somente se o clérigo tiver o domínio Caos. O domínio oposto Ordem também bloqueia esta magia.
DOMINIO_CONHECIMENTO_1_COMPREENDER_IDIOMAS,Compreender Idiomas,1,DOMINIO,Conhecimento,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Conhecimento.
DOMINIO_CONHECIMENTO_1_DETECTAR_MAGIA,Detectar Magia,1,DOMINIO,Conhecimento,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Conhecimento.
DOMINIO_CONHECIMENTO_1_IDENTIFICACAO,Identificação,1,DOMINIO,Conhecimento,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Conhecimento.
DOMINIO_CONHECIMENTO_1_LER_MAGIAS,Ler Magias,1,DOMINIO,Conhecimento,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Conhecimento.
DOMINIO_CURA_1_CURAR_FERIMENTOS_LEVES,Curar Ferimentos Leves,1,DOMINIO,Cura,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Cura.
DOMINIO_CURA_1_RESTAURACAO_MENOR,Restauração Menor,1,DOMINIO,Cura,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Cura.
DOMINIO_DESTRUICAO_1_INFLIGIR_FERIMENTOS_LEVES,Infligir Ferimentos Leves,1,DOMINIO,Destruição,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,PROTECAO,Magia de domínio; renderizar somente se o clérigo tiver o domínio Destruição. O domínio oposto Protecao também bloqueia esta magia.
DOMINIO_DESTRUICAO_1_MAOS_FLAMEJANTES,Mãos Flamejantes,1,DOMINIO,Destruição,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,PROTECAO,Magia de domínio; renderizar somente se o clérigo tiver o domínio Destruição. O domínio oposto Protecao também bloqueia esta magia.
DOMINIO_ENGANACAO_1_DISIMULAR_TENDENCIA,Disimular Tendência,1,DOMINIO,Enganação,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Enganação.
DOMINIO_ENGANACAO_1_IMAGEM_SILENCIOSA,Imagem Silenciosa,1,DOMINIO,Enganação,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Enganação.
DOMINIO_FOGO_1_MAOS_FLAMEJANTES,Mãos Flamejantes,1,DOMINIO,Fogo,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Fogo.
DOMINIO_FOGO_1_TOQUE_CHOCANTE,Toque Chocante,1,DOMINIO,Fogo,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Fogo.
DOMINIO_FORCA_1_ARMA_MAGICA,Arma Mágica,1,DOMINIO,Força,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Força.
DOMINIO_FORCA_1_AUXILIO_DIVINO,Auxílio Divino,1,DOMINIO,Força,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Força.
DOMINIO_GUERRA_1_ABENCOAR_ARMA,Abençoar Arma,1,DOMINIO,Guerra,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Guerra.
DOMINIO_GUERRA_1_BENCAO,Bênção,1,DOMINIO,Guerra,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Guerra.
DOMINIO_MAGIA_1_DETECTAR_MAGIA,Detectar Magia,1,DOMINIO,Magia,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Magia.
DOMINIO_MAGIA_1_IDENTIFICACAO,Identificação,1,DOMINIO,Magia,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Magia.
DOMINIO_MAGIA_1_LER_MAGIAS,Ler Magias,1,DOMINIO,Magia,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Magia.
DOMINIO_MAL_1_INFLIGIR_FERIMENTOS_LEVES,Infligir Ferimentos Leves,1,DOMINIO,Mal,SIM,MAL,FAMILIA_FIXA,,,NAO,NAO,SIM,NAO,NAO,SIM,NAO,NAO,SIM,Leal e Mau|Neutro e Mau|Caótico e Mau,Leal e Bom|Leal e Neutro|Neutro e Bom|Neutro|Caótico e Bom|Caótico e Neutro,SIM,BEM,Magia de domínio; renderizar somente se o clérigo tiver o domínio Mal. O domínio oposto Bem também bloqueia esta magia.
DOMINIO_MAL_1_PROTECAO_CONTRA_O_BEM,Proteção Contra o Bem,1,DOMINIO,Mal,SIM,MAL,FAMILIA_FIXA,,,NAO,NAO,SIM,NAO,NAO,SIM,NAO,NAO,SIM,Leal e Mau|Neutro e Mau|Caótico e Mau,Leal e Bom|Leal e Neutro|Neutro e Bom|Neutro|Caótico e Bom|Caótico e Neutro,SIM,BEM,Magia de domínio; renderizar somente se o clérigo tiver o domínio Mal. O domínio oposto Bem também bloqueia esta magia.
DOMINIO_MORTE_1_CAUSAR_MEDO,Causar Medo,1,DOMINIO,Morte,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Morte.
DOMINIO_MORTE_1_INFLIGIR_FERIMENTOS_LEVES,Infligir Ferimentos Leves,1,DOMINIO,Morte,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Morte.
DOMINIO_PROTECAO_1_ESCUDO_DA_FE,Escudo da Fé,1,DOMINIO,Proteção,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,DESTRUICAO,Magia de domínio; renderizar somente se o clérigo tiver o domínio Proteção. O domínio oposto Destruicao também bloqueia esta magia.
DOMINIO_PROTECAO_1_PROTECAO_CONTRA_O_CAOS_MAL,Proteção Contra o Caos/Mal,1,DOMINIO,Proteção,SIM,ORDEM,FAMILIA_FIXA,,,SIM,SIM,SIM,NAO,NAO,NAO,NAO,NAO,NAO,Leal e Bom|Leal e Neutro|Leal e Mau,Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,SIM,DESTRUICAO,Magia de domínio; renderizar somente se o clérigo tiver o domínio Proteção. O domínio oposto Destruicao também bloqueia esta magia.
DOMINIO_PROTECAO_1_RESISTENCIA,Resistência,1,DOMINIO,Proteção,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,DESTRUICAO,Magia de domínio; renderizar somente se o clérigo tiver o domínio Proteção. O domínio oposto Destruicao também bloqueia esta magia.
DOMINIO_SOL_1_CHAMA_CONTINUA,Chama Contínua,1,DOMINIO,Sol,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Sol.
DOMINIO_SOL_1_LUZ,Luz,1,DOMINIO,Sol,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Sol.
DOMINIO_SORTE_1_BENCAO,Bênção,1,DOMINIO,Sorte,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Sorte.
DOMINIO_SORTE_1_PROTECAO_CONTRA_O_CAOS_MAL,Proteção Contra o Caos/Mal,1,DOMINIO,Sorte,SIM,ORDEM,FAMILIA_FIXA,,,SIM,SIM,SIM,NAO,NAO,NAO,NAO,NAO,NAO,Leal e Bom|Leal e Neutro|Leal e Mau,Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Sorte.
DOMINIO_TERRA_1_ARMADURA_DE_PEDRA,Armadura de Pedra,1,DOMINIO,Terra,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Terra.
DOMINIO_TERRA_1_PEDRA_MAGICA,Pedra Mágica,1,DOMINIO,Terra,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Terra.
DOMINIO_VIAGEM_1_PASSOS_SEM_PEGADAS,Passos sem Pegadas,1,DOMINIO,Viagem,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Viagem.
DOMINIO_VIAGEM_1_QUEDA_SUAVE,Queda Suave,1,DOMINIO,Viagem,SIM,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,SIM,,Magia de domínio; renderizar somente se o clérigo tiver o domínio Viagem.
CLERIGO_BASE_2_ACALMAR_EMOCOES,Acalmar Emoções,2,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_2_AJUDA,Ajuda,2,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_2_ARMA_ESPIRITUAL,Arma Espiritual,2,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_2_AUGURIO,Augúrio,2,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_2_CATIVAR,Cativar,2,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_2_CONDICAO,Condição,2,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
CLERIGO_BASE_2_CONSAGRAR,Consagrar,2,CLERIGO_BASE,,NAO,BEM,FAMILIA_FIXA,,,SIM,NAO,NAO,SIM,NAO,NAO,SIM,NAO,NAO,Leal e Bom|Neutro e Bom|Caótico e Bom,Leal e Neutro|Leal e Mau|Neutro|Neutro e Mau|Caótico e Neutro|Caótico e Mau,NAO,,Magia base do clérigo.
CLERIGO_BASE_2_CURAR_FERIMENTOS_MODERADOS,Curar Ferimentos Moderados,2,CLERIGO_BASE,,NAO,,LIVRE,,,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,Leal e Bom|Leal e Neutro|Leal e Mau|Neutro e Bom|Neutro|Neutro e Mau|Caótico e Bom|Caótico e Neutro|Caótico e Mau,,NAO,,Magia base do clérigo.
